date,All sectors; life insurance reserves; liability,Federal government; life insurance reserves; liability,Life insurance companies; life insurance reserves; liability,Rest of the world; life insurance reserve credit from non-U.S. reinsurers; liability,All sectors; life insurance reserves; liability,Households and nonprofit organizations; life insurance reserves; asset,U.S.-chartered depository institutions; life insurance reserves; asset,Life insurance companies; life insurance reserve credit from reinsurers; asset,Holding companies; life insurance reserves; asset,Life insurance companies; assumed life insurance reserve credit from non-U.S. insurers; liability
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3800,1165,2635,0,3800,3800,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3150,605,2545,0,3150,3150,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,2843,213,2630,0,2843,2843,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,2751,84,2667,0,2751,2751,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,2945,309,2636,0,2945,2945,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,2728,173,2555,0,2728,2728,0,0,0,0
1952:Q1,2672,60,2612,0,2672,2672,0,0,0,0
1952:Q2,2832,80,2752,0,2832,2832,0,0,0,0
1952:Q3,2956,32,2924,0,2956,2956,0,0,0,0
1952:Q4,3092,0,3092,0,3092,3092,0,0,0,0
1953:Q1,3096,32,3064,0,3096,3096,0,0,0,0
1953:Q2,3040,72,2968,0,3040,3040,0,0,0,0
1953:Q3,2952,100,2852,0,2952,2952,0,0,0,0
1953:Q4,2840,92,2748,0,2840,2840,0,0,0,0
1954:Q1,2768,-52,2820,0,2768,2768,0,0,0,0
1954:Q2,2716,-236,2952,0,2716,2716,0,0,0,0
1954:Q3,2676,-400,3076,0,2676,2676,0,0,0,0
1954:Q4,2648,-508,3156,0,2648,2648,0,0,0,0
1955:Q1,2728,-396,3124,0,2728,2728,0,0,0,0
1955:Q2,2836,-208,3044,0,2836,2836,0,0,0,0
1955:Q3,3032,4,3028,0,3032,3032,0,0,0,0
1955:Q4,3024,-60,3084,0,3024,3024,0,0,0,0
1956:Q1,3400,232,3168,0,3400,3400,0,0,0,0
1956:Q2,3636,360,3276,0,3636,3636,0,0,0,0
1956:Q3,3564,344,3220,0,3564,3564,0,0,0,0
1956:Q4,3280,276,3004,0,3280,3280,0,0,0,0
1957:Q1,2976,184,2792,0,2976,2976,0,0,0,0
1957:Q2,2668,88,2580,0,2668,2668,0,0,0,0
