date,All sectors; life insurance reserves; liability,Federal government; life insurance reserves; liability,Life insurance companies; life insurance reserves; liability,Rest of the world; life insurance reserve credit from non-U.S. reinsurers; liability,All sectors; life insurance reserves; liability,Households and nonprofit organizations; life insurance reserves; asset,U.S.-chartered depository institutions; life insurance reserves; asset,Life insurance companies; life insurance reserve credit from reinsurers; asset,Holding companies; life insurance reserves; asset,Life insurance companies; assumed life insurance reserve credit from non-U.S. insurers; liability
1945:Q4,39560,3593,35967,0,39560,39560,0,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,43360,4758,38602,0,43360,43360,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,46510,5363,41147,0,46510,46510,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,49353,5576,43777,0,49353,49353,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,52104,5660,46444,0,52104,52104,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,55049,5969,49080,0,55049,55049,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,57777,6142,51635,0,57777,57777,0,0,0,0
1952:Q1,58445,6157,52288,0,58445,58445,0,0,0,0
1952:Q2,59153,6177,52976,0,59153,59153,0,0,0,0
1952:Q3,59892,6185,53707,0,59892,59892,0,0,0,0
1952:Q4,60665,6185,54480,0,60665,60665,0,0,0,0
1953:Q1,61439,6193,55246,0,61439,61439,0,0,0,0
1953:Q2,62199,6211,55988,0,62199,62199,0,0,0,0
1953:Q3,62937,6236,56701,0,62937,62937,0,0,0,0
1953:Q4,63647,6259,57388,0,63647,63647,0,0,0,0
1954:Q1,64339,6246,58093,0,64339,64339,0,0,0,0
1954:Q2,65018,6187,58831,0,65018,65018,0,0,0,0
1954:Q3,65687,6087,59600,0,65687,65687,0,0,0,0
1954:Q4,66349,5960,60389,0,66349,66349,0,0,0,0
1955:Q1,67031,5861,61170,0,67031,67031,0,0,0,0
1955:Q2,67740,5809,61931,0,67740,67740,0,0,0,0
1955:Q3,68498,5810,62688,0,68498,68498,0,0,0,0
1955:Q4,69254,5795,63459,0,69254,69254,0,0,0,0
1956:Q1,70104,5853,64251,0,70104,70104,0,0,0,0
1956:Q2,71013,5943,65070,0,71013,71013,0,0,0,0
1956:Q3,71904,6029,65875,0,71904,71904,0,0,0,0
1956:Q4,72724,6098,66626,0,72724,72724,0,0,0,0
1957:Q1,73468,6144,67324,0,73468,73468,0,0,0,0
1957:Q2,74135,6166,67969,0,74135,74135,0,0,0,0
1957:Q3,74784,6178,68606,0,74784,74784,0,0,0,0
1957:Q4,75462,6185,69277,0,75462,75462,0,0,0,0
1958:Q1,76183,6192,69991,0,76183,76183,0,0,0,0
1958:Q2,76958,6203,70755,0,76958,76958,0,0,0,0
1958:Q3,77752,6219,71533,0,77752,77752,0,0,0,0
1958:Q4,78535,6241,72294,0,78535,78535,0,0,0,0
1959:Q1,79331,6268,73063,0,79331,79331,0,0,0,0
1959:Q2,80133,6299,73834,0,80133,80133,0,0,0,0
1959:Q3,80994,6327,74667,0,80994,80994,0,0,0,0
1959:Q4,81956,6350,75606,0,81956,81956,0,0,0,0
1960:Q1,82895,6371,76524,0,82895,82895,0,0,0,0
1960:Q2,83772,6389,77383,0,83772,83772,0,0,0,0
1960:Q3,84539,6406,78133,0,84539,84539,0,0,0,0
1960:Q4,85184,6426,78758,0,85184,85184,0,0,0,0
1961:Q1,85872,6447,79425,0,85872,85872,0,0,0,0
1961:Q2,86665,6469,80196,0,86665,86665,0,0,0,0
1961:Q3,87588,6493,81095,0,87588,87588,0,0,0,0
1961:Q4,88631,6519,82112,0,88631,88631,0,0,0,0
1962:Q1,89663,6548,83115,0,89663,89663,0,0,0,0
1962:Q2,90651,6579,84072,0,90651,90651,0,0,0,0
1962:Q3,91563,6612,84951,0,91563,91563,0,0,0,0
1962:Q4,92398,6644,85754,0,92398,92398,0,0,0,0
1963:Q1,93355,6677,86678,0,93355,93355,0,0,0,0
1963:Q2,94378,6711,87667,0,94378,94378,0,0,0,0
1963:Q3,95473,6744,88729,0,95473,95473,0,0,0,0
1963:Q4,96635,6775,89860,0,96635,96635,0,0,0,0
1964:Q1,97719,6803,90916,0,97719,97719,0,0,0,0
1964:Q2,98806,6827,91979,0,98806,98806,0,0,0,0
1964:Q3,99913,6851,93062,0,99913,99913,0,0,0,0
1964:Q4,101051,6879,94172,0,101051,101051,0,0,0,0
1965:Q1,102149,6910,95239,0,102149,102149,0,0,0,0
1965:Q2,103382,6944,96438,0,103382,103382,0,0,0,0
1965:Q3,104656,6979,97677,0,104656,104656,0,0,0,0
1965:Q4,105876,7013,98863,0,105876,105876,0,0,0,0
1966:Q1,107049,7042,100007,0,107049,107049,0,0,0,0
1966:Q2,108190,7070,101120,0,108190,108190,0,0,0,0
1966:Q3,109347,7096,102251,0,109347,109347,0,0,0,0
1966:Q4,110568,7120,103448,0,110568,110568,0,0,0,0
1967:Q1,111833,7144,104689,0,111833,111833,0,0,0,0
1967:Q2,113070,7168,105902,0,113070,113070,0,0,0,0
1967:Q3,114312,7188,107124,0,114312,114312,0,0,0,0
1967:Q4,115533,7200,108333,0,115533,115533,0,0,0,0
1968:Q1,116735,7202,109533,0,116735,116735,0,0,0,0
1968:Q2,117919,7194,110725,0,117919,117919,0,0,0,0
1968:Q3,119108,7186,111922,0,119108,119108,0,0,0,0
1968:Q4,120321,7186,113135,0,120321,120321,0,0,0,0
1969:Q1,121558,7197,114361,0,121558,121558,0,0,0,0
1969:Q2,122811,7217,115594,0,122811,122811,0,0,0,0
1969:Q3,124080,7239,116841,0,124080,124080,0,0,0,0
1969:Q4,125359,7252,118107,0,125359,125359,0,0,0,0
1970:Q1,126700,7321,119379,0,126700,126700,0,0,0,0
1970:Q2,127975,7333,120642,0,127975,127975,0,0,0,0
1970:Q3,129291,7344,121947,0,129291,129291,0,0,0,0
1970:Q4,130699,7358,123341,0,130699,130699,0,0,0,0
1971:Q1,132198,7375,124823,0,132198,132198,0,0,0,0
1971:Q2,133782,7393,126389,0,133782,133782,0,0,0,0
1971:Q3,135412,7412,128000,0,135412,135412,0,0,0,0
1971:Q4,137050,7429,129621,0,137050,137050,0,0,0,0
1972:Q1,138719,7459,131260,0,138719,138719,0,0,0,0
1972:Q2,140425,7498,132927,0,140425,140425,0,0,0,0
1972:Q3,142160,7540,134620,0,142160,142160,0,0,0,0
1972:Q4,143924,7581,136343,0,143924,143924,0,0,0,0
1973:Q1,145728,7624,138104,0,145728,145728,0,0,0,0
1973:Q2,147582,7671,139911,0,147582,147582,0,0,0,0
1973:Q3,149445,7717,141728,0,149445,149445,0,0,0,0
1973:Q4,151271,7756,143515,0,151271,151271,0,0,0,0
1974:Q1,153053,7789,145264,0,153053,153053,0,0,0,0
1974:Q2,154785,7816,146969,0,154785,154785,0,0,0,0
1974:Q3,156539,7842,148697,0,156539,156539,0,0,0,0
1974:Q4,158390,7871,150519,0,158390,158390,0,0,0,0
1975:Q1,161437,9015,152422,0,161437,161437,0,0,0,0
1975:Q2,163786,9394,154392,0,163786,163786,0,0,0,0
1975:Q3,165845,9433,156412,0,165845,165845,0,0,0,0
1975:Q4,168615,10152,158463,0,168615,168615,0,0,0,0
1976:Q1,170603,10053,160550,0,170603,170603,0,0,0,0
1976:Q2,173063,10387,162676,0,173063,173063,0,0,0,0
1976:Q3,175284,10440,164844,0,175284,175284,0,0,0,0
1976:Q4,177810,10751,167059,0,177810,177810,0,0,0,0
1977:Q1,180110,10803,169307,0,180110,180110,0,0,0,0
1977:Q2,182542,10970,171572,0,182542,182542,0,0,0,0
1977:Q3,184977,11069,173908,0,184977,184977,0,0,0,0
1977:Q4,187791,11422,176369,0,187791,187791,0,0,0,0
1978:Q1,190447,11475,178972,0,190447,190447,0,0,0,0
1978:Q2,193515,11781,181734,0,193515,193515,0,0,0,0
1978:Q3,196379,11848,184531,0,196379,196379,0,0,0,0
1978:Q4,199349,12112,187237,0,199349,199349,0,0,0,0
1979:Q1,201981,12094,189887,0,201981,201981,0,0,0,0
1979:Q2,204874,12357,192517,0,204874,204874,0,0,0,0
1979:Q3,207470,12359,195111,0,207470,207470,0,0,0,0
1979:Q4,210280,12630,197650,0,210280,210280,0,0,0,0
1980:Q1,212738,12598,200140,0,212738,212738,0,0,0,0
1980:Q2,215426,12842,202584,0,215426,215426,0,0,0,0
1980:Q3,217843,12860,204983,0,217843,217843,0,0,0,0
1980:Q4,220528,13195,207333,0,220528,220528,0,0,0,0
